Id;Namn;Latitud;Longitud;Höjd (m);Aktiv
148550;Norrby;64.9238;18.2404;325;Nej
108040;Norrby S;60.0618;18.7385;19.643;Ja
87530;Norrby Säteri;58.8907;17.1932;30;Nej
147430;Norrbäck;64.7112;17.7154;440;Nej
138470;Norrfors;63.7705;18.9927;118;Nej
171780;Norriån;66.25;21.8;55;Nej
86360;Norrköping;58.606;16.2127;3;Nej
86350;Norrköping-Kungsängen;58.5842;16.2383;5;Nej
86340;Norrköping-SMHI;58.5833;16.15;21;Nej
86370;Norrköping-Sörby;58.6082;16.1212;27;Nej
107560;Norrsundet;60.9297;17.1561;5;Ja
98460;Norrtälje II;59.7506;18.7091;25;Nej
98510;Norrtälje-Väsby;59.8524;18.7296;10;Nej
98500;Norrveda;59.8294;18.949;23.253;Ja
145260;Norråker D;64.4331;15.5985;270;Nej
97140;Norsborg I;59.2401;17.7834;15;Nej
97160;Norsborg II;59.2518;17.796;8.671;Ja
149540;Norsjö;64.9093;19.4746;296;Nej
149560;Norsjö A;64.9253;19.3744;309.576;Ja
96180;Notholmen;59.2948;16.0053;24;Nej
75230;Nyabyberg;57.3911;15.2737;220;Nej
95440;Nyberget;59.7468;14.9925;200;Nej
65440;Nybro-Slättingebygd D;56.8503;15.9885;92.842;Nej
97310;Nybyholm;59.5296;17.038;5;Nej
97180;Nyckelby;59.3;17.7166;25;Nej
104180;Nyhammar;60.2911;14.9784;183.857;Ja
62140;Nyhamnsläge;56.2451;12.5401;12.454;Ja
105190;Nyhyttan D;60.3217;15.5566;218;Nej
86480;Nyköpings Flygplats;58.7833;16.9166;42;Nej
147630;Nyland;64.4833;17.3333;460;Nej
146530;Nyluspen;64.8788;16.7489;415;Nej
87570;Nynäshamn;58.9217;17.9248;15;Nej
98110;Nämdö;59.1146;18.4353;7;Ja
96110;Näshulta;59.1946;16.2765;45.492;Ja
74390;Nässjö;57.6431;14.6895;305;Nej
136260;Näsåker;63.4179;16.9517;128.919;Ja
74240;Nävelsjö;57.4397;14.8863;230;Ja
104270;Nås;60.4494;14.4825;250;Nej
106550;Ockelbo;60.892;16.724;74;Ja
106540;Ockelbo 1;60.8982;16.7376;80;Ja
137070;Offer;63.1492;17.7617;27;Nej
76530;Ogestad;57.8748;16.1689;81;Nej
64500;Ohs;56.8371;14.5852;145;Nej
64250;Olastorp;56.4188;14.3546;135;Ja
133420;Olden D;63.6951;13.6473;344.362;Ja
137720;Oldsjön;63.3333;17.4833;200;Nej
64170;Olofström;56.2773;14.5177;65;Ja
75500;Olstorp;57.8333;15.1;200;Nej
84220;Omberg D;58.3558;14.6938;125.244;Ja
128570;Omne D;62.9513;18.3643;75;Nej
